ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/cc5f-23191s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,70 cm,1,1,Larghezza,55 cm,1,1,Altezza Totale,40 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"11,2 m2",1,1,Altezza di Caduta Libera,< 60 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,3 kg,1,0,In conformità alla norma EN,40x56x1 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,0.5 ore,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5816,simple,,WORKOUT 2318,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/e790-23181s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,60 cm,1,1,Larghezza,40 cm,1,1,Altezza Totale,20 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"10,3 m2",1,1,Altezza di Caduta Libera,< 60 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,1 kg,1,0,In conformità alla norma EN,20x50x1 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,1 ore,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5817,simple,,WORKOUT 2317,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/fa8b-2317c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/f40c-23171s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/846f-2317c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/8607-2317c161s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/38d6-2317c171s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/b604-2317c181s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/e126-2317ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,345 cm,1,1,Larghezza,15 cm,1,1,Altezza Totale,285 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"20,2 m2",1,1,Altezza di Caduta Libera,170 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,33 kg,1,0,In conformità alla norma EN,363x10x10 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5818,simple,,WORKOUT 2301,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2301c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/9a42-2301c81s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2301c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2301c161s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2301c171s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/f053-2301c181s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2301ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,194 cm,1,1,Larghezza,64 cm,1,1,Altezza Totale,72 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"16,1 m2",1,1,Altezza di Caduta Libera,72 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,25 kg,1,0,In conformità alla norma EN,181x55x72 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5819,simple,,WORKOUT 2302,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2302c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/6e08-2302c81s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/69bd-2302c12.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2302c161s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2302c171s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/54cc-2302c181s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2302ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,194 cm,1,1,Larghezza,68 cm,1,1,Altezza Totale,122 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"16,3 m2",1,1,Altezza di Caduta Libera,112 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,20 kg,1,0,In conformità alla norma EN,181x4x110 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,2 ore,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5820,simple,,WORKOUT 2303,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2303c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1af7-2303c81s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2303c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2303c161s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2303c171s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/48ba-2303c181s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2303ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,194 cm,1,1,Larghezza,124 cm,1,1,Altezza Totale,122 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"19,0 m2",1,1,Altezza di Caduta Libera,112 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,20 kg,1,0,In conformità alla norma EN,181x4x110 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,2 ore,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5821,simple,,WORKOUT 2304,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2304c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/9f34-2304c81s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/03d2-2304c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/0174-2304c161s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/bb6b-2304c171s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/f55b-2304c181s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/d2c1-2304ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,342 cm,1,1,Larghezza,13 cm,1,1,Altezza Totale,138 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"18,1 m2",1,1,Altezza di Caduta Libera,127 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,22 kg,1,0,In conformità alla norma EN,10x10x240 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,2 ore,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5822,simple,,WORKOUT 2305,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2305c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2305c8.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2305c12.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2305c16.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2305c17.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2305c18.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2305ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,151 cm,1,1,Larghezza,82 cm,1,1,Altezza Totale,83 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"14,4 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,16 kg,1,0,In conformità alla norma EN,170x4x55 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,2 ore,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5823,simple,,WORKOUT 2306,1,1,visible,La serie STEEL+ comprende moderne strutture a torre con molte caratteristiche che delizieranno sia i bambini più piccoli che quelli più grandi. Torri colorate arricchite con elementi musicali sono il luogo perfetto per divertirsi con compagni di gioco e sono anche un ottimo posto per rilassarsi. Una vasta gamma di dispositivi con elementi educativi facilita l'integrazione dei bambini di diversi livelli di forma fisica.,"<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a polvere e verniciato a polvere o in acciaio inossidabile di profilo 80 x 80 mm,</li>
\n 	<li>Piattaforme, pareti per arrampicata e gradini realizzati in resistente piastra HPL antiscivolo e impermeabile,</li>
